© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	IPA-Sarah
Analysis	Newborns-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:37:18 PST 2017
Analysis ID	15776117

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Neuroprotective Role of THOP1 in Alzheimer's Disease	7.62E-01	NaN	8.40E-03	PRKAR2B,	
Neuropathic Pain Signaling In Dorsal Horn Neurons	7.75E-01	NaN	8.70E-03	PRKAR2B,	
Corticotropin Releasing Hormone Signaling	7.82E-01	NaN	8.85E-03	PRKAR2B,	
Nitric Oxide Signaling in the Cardiovascular System	7.82E-01	NaN	8.85E-03	PRKAR2B,	
Paxillin Signaling	7.82E-01	NaN	8.85E-03	ACTN1,	
Androgen Signaling	7.89E-01	NaN	9.01E-03	PRKAR2B,	
Type I Diabetes Mellitus Signaling	7.89E-01	NaN	9.01E-03	CASP8,	
Axonal Guidance Signaling	7.92E-01	NaN	4.42E-03	ADAMTS6,PRKAR2B	
Gαs Signaling	7.93E-01	NaN	9.09E-03	PRKAR2B,	
IGF-1 Signaling	8.08E-01	NaN	9.43E-03	PRKAR2B,	
VEGF Signaling	8.19E-01	NaN	9.71E-03	ACTN1,	
CDK5 Signaling	8.35E-01	NaN	1.01E-02	PRKAR2B,	
Melanocyte Development and Pigmentation Signaling	8.39E-01	NaN	1.02E-02	PRKAR2B,	
Communication between Innate and Adaptive Immune Cells	8.56E-01	NaN	1.06E-02	TNFSF13B,	
Acute Myeloid Leukemia Signaling	8.6E-01	NaN	1.08E-02	RUNX1,	
Death Receptor Signaling	8.6E-01	NaN	1.08E-02	CASP8,	
IL-1 Signaling	8.64E-01	NaN	1.09E-02	PRKAR2B,	
IL-7 Signaling Pathway	8.69E-01	NaN	1.10E-02	EBF1,	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	8.73E-01	NaN	1.11E-02	TNFSF13B,	
Apoptosis Signaling	8.73E-01	NaN	1.11E-02	CASP8,	
G Beta Gamma Signaling	8.82E-01	NaN	1.14E-02	PRKAR2B,	
PEDF Signaling	8.87E-01	NaN	1.15E-02	CASP8,	
α-Adrenergic Signaling	8.87E-01	NaN	1.15E-02	PRKAR2B,	
Molecular Mechanisms of Cancer	8.87E-01	NaN	5.08E-03	PRKAR2B,CASP8	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	8.92E-01	NaN	1.16E-02	PRKAR2B,	
Leptin Signaling in Obesity	8.92E-01	NaN	1.16E-02	PRKAR2B,	
Dopamine Receptor Signaling	9.37E-01	NaN	1.30E-02	PRKAR2B,	
BMP signaling pathway	9.42E-01	NaN	1.32E-02	PRKAR2B,	
TREM1 Signaling	9.48E-01	NaN	1.33E-02	NLRP6,	
GM-CSF Signaling	9.59E-01	NaN	1.37E-02	RUNX1,	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	9.59E-01	NaN	1.37E-02	PRKAR2B,	
Melatonin Signaling	9.64E-01	NaN	1.39E-02	PRKAR2B,	
Myc Mediated Apoptosis Signaling	9.76E-01	NaN	1.43E-02	CASP8,	
Remodeling of Epithelial Adherens Junctions	9.82E-01	NaN	1.45E-02	ACTN1,	
PXR/RXR Activation	1.01E00	NaN	1.54E-02	PRKAR2B,	
Retinoic acid Mediated Apoptosis Signaling	1.03E00	NaN	1.61E-02	CASP8,	
Induction of Apoptosis by HIV1	1.03E00	NaN	1.64E-02	CASP8,	
Regulation of Cellular Mechanics by Calpain Protease	1.06E00	NaN	1.75E-02	ACTN1,	
CD27 Signaling in Lymphocytes	1.09E00	NaN	1.89E-02	CASP8,	
Phototransduction Pathway	1.09E00	NaN	1.89E-02	PRKAR2B,	
Amyloid Processing	1.11E00	NaN	1.96E-02	PRKAR2B,	
TNFR1 Signaling	1.12E00	NaN	2.00E-02	CASP8,	
Primary Immunodeficiency Signaling	1.13E00	NaN	2.08E-02	TAP2,	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.17E00	NaN	2.27E-02	CASP8,	
B Cell Activating Factor Signaling	1.2E00	NaN	2.44E-02	TNFSF13B,	
Role of PKR in Interferon Induction and Antiviral Response	1.2E00	NaN	2.44E-02	CASP8,	
Netrin Signaling	1.22E00	NaN	2.56E-02	PRKAR2B,	
Antigen Presentation Pathway	1.23E00	NaN	2.63E-02	TAP2,	
TWEAK Signaling	1.27E00	NaN	2.86E-02	CASP8,	
Actin Cytoskeleton Signaling	1.3E00	NaN	8.81E-03	ACTN1,RDX	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.3E00	NaN	3.12E-02	CASP8,	
Sonic Hedgehog Signaling	1.33E00	NaN	3.33E-02	PRKAR2B,	
Leukocyte Extravasation Signaling	1.35E00	NaN	9.48E-03	ACTN1,RDX	
Tumoricidal Function of Hepatic Natural Killer Cells	1.43E00	NaN	4.17E-02	CASP8,	
NF-κB Signaling	1.47E00	NaN	1.10E-02	TNFSF13B,CASP8	
Sertoli Cell-Sertoli Cell Junction Signaling	1.49E00	NaN	1.12E-02	PRKAR2B,ACTN1	
Granzyme A Signaling	1.5E00	NaN	5.00E-02	HIST1H1D,	
Inflammasome pathway	1.5E00	NaN	5.00E-02	CASP8,	
eNOS Signaling	1.51E00	NaN	1.16E-02	PRKAR2B,CASP8	
Protein Kinase A Signaling	1.59E00	NaN	7.50E-03	HIST1H1D,PRKAR2B,DUSP22	
Granzyme B Signaling	1.6E00	NaN	6.25E-02	CASP8,	

Upstream Regulators for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Newborns-Combined - 2017-12-07 12:37 PM	 	IL17RC	transmembrane receptor	 	 	 	 	 	1.63E-03	STEAP4	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	mir-654	microrna	 	 	 	 	 	1.63E-03	PTPRN2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	pubchem compound 6603792	chemical - kinase inhibitor	 	 	 	 	 	1.63E-03	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	MED13	transcription regulator	 	 	 	 	 	1.75E-03	ACSM3,PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	STAT1	transcription regulator	 	 	 	 	 	2.29E-03	ALPK1,CASP8,RUNX1,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IRF1	transcription regulator	 	 	 	 	 	2.43E-03	CASP8,TAP2,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	SATB1	transcription regulator	 	 	 	 	 	2.43E-03	ACTN1,RUNX1,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	tetrachlorodibenzodioxin	chemical toxicant	 	 	 	 	 	2.97E-03	ACTN1,PRKAR2B,STEAP4,ZFP57	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	FAIM2	other	 	 	 	 	 	3.26E-03	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	KMT5A	enzyme	 	 	 	 	 	3.26E-03	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	L3MBTL1	other	 	 	 	 	 	3.26E-03	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ZFP91	transcription regulator	 	 	 	 	 	3.26E-03	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	mir-342	microrna	 	 	 	 	 	3.26E-03	PTPRN2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IRF2	transcription regulator	 	 	 	 	 	4.88E-03	TAP2,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	MAP2	other	 	 	 	 	 	4.88E-03	PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	mir-541	microrna	 	 	 	 	 	4.88E-03	PTPRN2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	3,3'-diindolylmethane	chemical drug	 	 	 	 	 	5.49E-03	CASP8,TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	delta-9-tetrahydrocannabinol	chemical drug	 	 	 	 	 	6.47E-03	CASP8,TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	8-chloro-cAMP	chemical drug	 	 	 	 	 	6.50E-03	PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CD55	other	 	 	 	 	 	6.50E-03	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	NPLOC4	other	 	 	 	 	 	6.50E-03	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	UFD1	peptidase	 	 	 	 	 	6.50E-03	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	miR-324-5p (miRNAs w/seed GCAUCCC)	mature microrna	 	 	 	 	 	6.50E-03	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	maslinic acid	chemical - endogenous non-mammalian	 	 	 	 	 	7.89E-03	ACTN1,PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	(-)-gossypol	chemical drug	 	 	 	 	 	8.12E-03	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	DCX	other	 	 	 	 	 	8.12E-03	ACTN1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TRIM33	transcription regulator	 	 	 	 	 	8.12E-03	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	XAF1	other	 	 	 	 	 	8.12E-03	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	mir-665	microrna	 	 	 	 	 	8.12E-03	PTPRN2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	pubchem compound 11483544	chemical reagent	 	 	 	 	 	8.12E-03	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PRDM5	transcription regulator	 	 	 	 	 	8.84E-03	EBF1,RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ficusin	chemical drug	 	 	 	 	 	9.74E-03	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	miR-139-5p (miRNAs w/seed CUACAGU)	mature microrna	 	 	 	 	 	9.74E-03	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	OSM	cytokine	 	 	 	 	 	1.07E-02	ATP13A3,JMJD1C,RUNX1,TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ONECUT1	transcription regulator	 	 	 	 	 	1.07E-02	CLNS1A,PTPRN2,TTI2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	HESX1	transcription regulator	 	 	 	 	 	1.13E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	HIST4H4	other	 	 	 	 	 	1.13E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TRPV2	ion channel	 	 	 	 	 	1.13E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	citric acid	chemical - endogenous mammalian	 	 	 	 	 	1.13E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	miR-542-3p (miRNAs w/seed GUGACAG)	mature microrna	 	 	 	 	 	1.13E-02	RPS23	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	pubchem compound 11368987	chemical reagent	 	 	 	 	 	1.13E-02	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CD8A	other	 	 	 	 	 	1.30E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	lead acetate	chemical toxicant	 	 	 	 	 	1.30E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CD24	other	 	 	 	 	 	1.34E-02	ATP13A3,JMJD1C	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	SERPINB2	other	 	 	 	 	 	1.46E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	Ifn	group	 	 	 	 	 	1.61E-02	CASP8,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	BCL6B	transcription regulator	 	 	 	 	 	1.62E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	HES5	transcription regulator	 	 	 	 	 	1.62E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	RYBP	transcription regulator	 	 	 	 	 	1.62E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	camptothecin	chemical drug	 	 	 	 	 	1.62E-02	CASP8,PRKAR2B,PTPRN2,RDX	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PRKCA	kinase	 	 	 	 	 	1.63E-02	PTPRN2,RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	AHR	ligand-dependent nuclear receptor	 	 	 	 	 	1.77E-02	ACTN1,CASP8,STEAP4	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	HIST2H3C	other	 	 	 	 	 	1.78E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TRAF4	other	 	 	 	 	 	1.78E-02	STEAP4	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	teriflunomide	chemical drug	 	 	 	 	 	1.78E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	EBF1	transcription regulator	 	 	 	 	 	1.92E-02	EBF1,PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CLCA2	ion channel	 	 	 	 	 	1.94E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PPP3CB	phosphatase	 	 	 	 	 	1.94E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IL10	cytokine	 	 	 	 	 	2.07E-02	CASP8,TAP2,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IKZF1	transcription regulator	 	 	 	 	 	2.09E-02	EBF1,RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	GSX2	transcription regulator	 	 	 	 	 	2.10E-02	EBF1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	YWHAQ	other	 	 	 	 	 	2.10E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TCR	complex	 	 	 	 	 	2.11E-02	RPS23,RUNX1,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	FAS	transmembrane receptor	 	 	 	 	 	2.24E-02	CASP8,PTPRN2,RDX	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CBX2	transcription regulator	 	 	 	 	 	2.26E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	VCP	enzyme	 	 	 	 	 	2.26E-02	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	onapristone	chemical drug	 	 	 	 	 	2.26E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IRF4	transcription regulator	 	 	 	 	 	2.39E-02	SUB1,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PURA	transcription regulator	 	 	 	 	 	2.42E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	mir-31	microrna	 	 	 	 	 	2.42E-02	RDX	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CGB3 (includes others)	other	 	 	 	 	 	2.58E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	GPI	enzyme	 	 	 	 	 	2.58E-02	STEAP4	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IFT57	other	 	 	 	 	 	2.58E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	Stat5 dimer	complex	 	 	 	 	 	2.58E-02	EBF1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	doxorubicin	chemical drug	 	 	 	 	 	2.73E-02	CASP8,RUNX1,TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ACSL5	enzyme	 	 	 	 	 	2.73E-02	ADAMTS6	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	DAXX	transcription regulator	 	 	 	 	 	2.73E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	miR-199a-3p (and other miRNAs w/seed CAGUAGU)	mature microrna	 	 	 	 	 	2.73E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ACVR1C	kinase	 	 	 	 	 	2.89E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TNFRSF13C	transmembrane receptor	 	 	 	 	 	2.89E-02	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	STAT5B	transcription regulator	 	 	 	 	 	2.96E-02	CASP8,EBF1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IRF7	transcription regulator	 	 	 	 	 	3.05E-02	TAP2,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	DOT1L	phosphatase	 	 	 	 	 	3.21E-02	RPS23	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	peoniflorin	chemical drug	 	 	 	 	 	3.21E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	SMARCC1	transcription regulator	 	 	 	 	 	3.37E-02	EBF1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	Interferon alpha	group	 	 	 	 	 	3.38E-02	CASP8,TAP2,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ELF5	transcription regulator	 	 	 	 	 	3.52E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	L-tryptophan	chemical - endogenous mammalian	 	 	 	 	 	3.52E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	topotecan	chemical drug	 	 	 	 	 	3.57E-02	JMJD1C,PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TP53	transcription regulator	 	 	 	 	 	3.63E-02	ACTN1,CASP8,H2AFY2,JMJD1C,RUNX1,TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	E. coli serotype 0127B8 lipopolysaccharide	chemical - endogenous non-mammalian	 	 	 	 	 	3.68E-02	CASP8,TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	9Z,11E-octadecadienoic acid	chemical - endogenous non-mammalian	 	 	 	 	 	3.68E-02	EBF1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PDGF-DD	complex	 	 	 	 	 	3.68E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TRPS1	transcription regulator	 	 	 	 	 	3.68E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	zidovudine	chemical drug	 	 	 	 	 	3.68E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	MYOD1	transcription regulator	 	 	 	 	 	3.79E-02	PRKAR2B,RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	MAP3K3	kinase	 	 	 	 	 	3.84E-02	STEAP4	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CDC73	other	 	 	 	 	 	4.00E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	IL-1R	group	 	 	 	 	 	4.15E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PEBP1	other	 	 	 	 	 	4.15E-02	PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	tetrodotoxin	chemical drug	 	 	 	 	 	4.15E-02	TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CTSS	peptidase	 	 	 	 	 	4.31E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	SLC9A3	ion channel	 	 	 	 	 	4.31E-02	TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	SMAD5	transcription regulator	 	 	 	 	 	4.31E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	PRKAR1A	kinase	 	 	 	 	 	4.46E-02	PRKAR2B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	TAB1	enzyme	 	 	 	 	 	4.46E-02	TNFSF13B	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CHADL	other	 	 	 	 	 	4.62E-02	STEAP4	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	SND1	enzyme	 	 	 	 	 	4.62E-02	PTPRN2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	VEGFB	growth factor	 	 	 	 	 	4.78E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	daunorubicin	chemical drug	 	 	 	 	 	4.78E-02	TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	ETS1	transcription regulator	 	 	 	 	 	4.86E-02	PTPRN2,RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	NKX2-3	transcription regulator	 	 	 	 	 	4.90E-02	RPS23,TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CNOT7	transcription regulator	 	 	 	 	 	4.93E-02	TAP2	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	LCK	kinase	 	 	 	 	 	4.93E-02	RUNX1	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	MTDH	transcription regulator	 	 	 	 	 	4.93E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	hymecromone	chemical drug	 	 	 	 	 	4.93E-02	CASP8	 	
Newborns-Combined - 2017-12-07 12:37 PM	 	CD40	transmembrane receptor	 	 	 	 	 	4.94E-02	TAP2,TNFSF13B	 	

Causal Networks for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM

Diseases and Bio Functions for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Arrest in differentiation of leukocytes	7.39E-06	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Tissue Development	differentiation	Arrest in differentiation of myeloid cells	1.47E-05	 	 	 	 	RUNX1,CASP8	2	
