© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Mitochondrial Dysfunction	4.71E-01	NaN	1.17E-02	NCSTN,ATPAF2	
Sirtuin Signaling Pathway	4.75E-01	NaN	1.03E-02	RPTOR,TOMM34,PGAM2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	4.8E-01	NaN	1.75E-02	PPP2CA,	
Aldosterone Signaling in Epithelial Cells	4.81E-01	NaN	1.19E-02	PRKCH,PRKCZ	
Actin Nucleation by ARP-WASP Complex	4.86E-01	NaN	1.79E-02	NCK1,	
Melanoma Signaling	4.93E-01	NaN	1.82E-02	MITF,	
Role of Cytokines in Mediating Communication between Immune Cells	4.99E-01	NaN	1.85E-02	IL4,	
Gαq Signaling	5.05E-01	NaN	1.24E-02	PRKCH,PRKCZ	
Phototransduction Pathway	5.06E-01	NaN	1.89E-02	PDE6H,	
Amyloid Processing	5.2E-01	NaN	1.96E-02	NCSTN,	
Regulation of eIF4 and p70S6K Signaling	5.2E-01	NaN	1.27E-02	PRKCZ,PPP2CA	
Assembly of RNA Polymerase II Complex	5.27E-01	NaN	2.00E-02	POLR2B,	
TNFR1 Signaling	5.27E-01	NaN	2.00E-02	TANK,	
Autoimmune Thyroid Disease Signaling	5.49E-01	NaN	2.13E-02	IL4,	
Hematopoiesis from Pluripotent Stem Cells	5.49E-01	NaN	2.13E-02	IL4,	
Phagosome Maturation	5.55E-01	NaN	1.35E-02	NAPA,CTSB	
Role of IL-17F in Allergic Inflammatory Airway Diseases	5.65E-01	NaN	2.22E-02	RPS6KA2,	
Hereditary Breast Cancer Signaling	5.71E-01	NaN	1.39E-02	POLR2B,SMARCD3	
Role of RIG1-like Receptors in Antiviral Innate Immunity	5.74E-01	NaN	2.27E-02	TANK,	
Serotonin Receptor Signaling	5.82E-01	NaN	2.33E-02	ADCY3,	
Stearate Biosynthesis I (Animals)	5.82E-01	NaN	2.33E-02	ACOT7,	
tRNA Splicing	6E-01	NaN	2.44E-02	PDE6H,	
Th1 Pathway	6.11E-01	NaN	1.48E-02	NCSTN,IL4	
Adipogenesis pathway	6.15E-01	NaN	1.49E-02	LPIN1,KAT6B	
Netrin Signaling	6.19E-01	NaN	2.56E-02	NCK1,	
HMGB1 Signaling	6.2E-01	NaN	1.50E-02	IL4,KAT6B	
Notch Signaling	6.29E-01	NaN	2.63E-02	NCSTN,	
Cellular Effects of Sildenafil (Viagra)	6.3E-01	NaN	1.53E-02	ADCY3,KCNH2	
CCR3 Signaling in Eosinophils	6.34E-01	NaN	1.54E-02	PRKCH,PRKCZ	
PI3K Signaling in B Lymphocytes	6.34E-01	NaN	1.54E-02	IL4,PRKCZ	
Phagosome Formation	6.34E-01	NaN	1.54E-02	PRKCH,PRKCZ	
Cell Cycle Regulation by BTG Family Proteins	6.39E-01	NaN	2.70E-02	PPP2CA,	
Type II Diabetes Mellitus Signaling	6.44E-01	NaN	1.56E-02	PRKCH,PRKCZ	
Gustation Pathway	6.49E-01	NaN	1.57E-02	ADCY3,PDE6H	
Sperm Motility	6.49E-01	NaN	1.57E-02	PRKCH,PRKCZ	
Nucleotide Excision Repair Pathway	6.6E-01	NaN	2.86E-02	POLR2B,	
Glucocorticoid Receptor Signaling	6.66E-01	NaN	1.18E-02	POLR2B,KRT19,SMARCD3,IL4	
fMLP Signaling in Neutrophils	6.7E-01	NaN	1.63E-02	PRKCH,PRKCZ	
Synaptic Long Term Potentiation	6.75E-01	NaN	1.64E-02	PRKCH,PRKCZ	
NGF Signaling	6.8E-01	NaN	1.65E-02	RPS6KA2,PRKCZ	
Gαi Signaling	6.85E-01	NaN	1.67E-02	RALB,ADCY3	
PTEN Signaling	6.91E-01	NaN	1.68E-02	IGF1R,PRKCZ	
AMPK Signaling	7.11E-01	NaN	1.39E-02	RPTOR,SMARCD3,PPP2CA	
HGF Signaling	7.13E-01	NaN	1.74E-02	PRKCH,PRKCZ	
TNFR2 Signaling	7.2E-01	NaN	3.33E-02	TANK,	
IL-15 Production	7.47E-01	NaN	3.57E-02	PRKCZ,	
Thrombin Signaling	7.61E-01	NaN	1.47E-02	ADCY3,PRKCH,PRKCZ	
NAD Salvage Pathway II	7.76E-01	NaN	3.85E-02	ACP5,	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	7.76E-01	NaN	3.85E-02	LPCAT2,	
IL-8 Signaling	7.92E-01	NaN	1.52E-02	ANGPT2,PRKCH,PRKCZ	
Virus Entry via Endocytic Pathways	7.93E-01	NaN	1.96E-02	PRKCH,PRKCZ	
Cholecystokinin/Gastrin-mediated Signaling	8E-01	NaN	1.98E-02	PRKCH,PRKCZ	
Gap Junction Signaling	8.01E-01	NaN	1.54E-02	ADCY3,PRKCH,PRKCZ	
CDP-diacylglycerol Biosynthesis I	8.08E-01	NaN	4.17E-02	LPCAT2,	
CDK5 Signaling	8.14E-01	NaN	2.02E-02	ADCY3,PPP2CA	
Protein Kinase A Signaling	8.2E-01	NaN	1.25E-02	YWHAQ,ADCY3,PRKCH,PRKCZ,PDE6H	
TCA Cycle II (Eukaryotic)	8.25E-01	NaN	4.35E-02	CS,	
Endothelin-1 Signaling	8.25E-01	NaN	1.58E-02	ADCY3,PRKCH,PRKCZ	
Xenobiotic Metabolism Signaling	8.3E-01	NaN	1.38E-02	PRKCH,PRKCZ,CITED2,PPP2CA	
Molecular Mechanisms of Cancer	8.39E-01	NaN	1.27E-02	RALB,NCSTN,ADCY3,PRKCH,PRKCZ	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	8.39E-01	NaN	1.60E-02	IGF1R,COL15A1,IL4	
PPAR Signaling	8.42E-01	NaN	2.11E-02	CITED2,NR0B2	
Th1 and Th2 Activation Pathway	8.49E-01	NaN	1.62E-02	NCSTN,PTGDR2,IL4	
Ceramide Signaling	8.57E-01	NaN	2.15E-02	PRKCZ,PPP2CA	
Factors Promoting Cardiogenesis in Vertebrates	8.64E-01	NaN	2.17E-02	PRKCH,PRKCZ	
NF-κB Signaling	8.7E-01	NaN	1.66E-02	IGF1R,TANK,PRKCZ	
Inflammasome pathway	8.81E-01	NaN	5.00E-02	CTSB,	
G Beta Gamma Signaling	8.96E-01	NaN	2.27E-02	PRKCH,PRKCZ	
HER-2 Signaling in Breast Cancer	8.96E-01	NaN	2.27E-02	PRKCH,PRKCZ	
Neuregulin Signaling	8.96E-01	NaN	2.27E-02	PRKCH,PRKCZ	
VEGF Family Ligand-Receptor Interactions	8.96E-01	NaN	2.27E-02	PRKCH,PRKCZ	
LPS-stimulated MAPK Signaling	9.04E-01	NaN	2.30E-02	PRKCH,PRKCZ	
NF-κB Activation by Viruses	9.04E-01	NaN	2.30E-02	PRKCH,PRKCZ	
Tec Kinase Signaling	9.28E-01	NaN	1.76E-02	PRKCH,PRKCZ,MS4A2	
IL-3 Signaling	9.37E-01	NaN	2.41E-02	PRKCH,PRKCZ	
Prolactin Signaling	9.37E-01	NaN	2.41E-02	PRKCH,PRKCZ	
Dermatan Sulfate Degradation (Metazoa)	9.47E-01	NaN	5.88E-02	HEXA,	
Erythropoietin Signaling	9.55E-01	NaN	2.47E-02	PRKCH,PRKCZ	
Macropinocytosis Signaling	9.55E-01	NaN	2.47E-02	PRKCH,PRKCZ	
CXCR4 Signaling	9.57E-01	NaN	1.82E-02	ADCY3,PRKCH,PRKCZ	
Role of BRCA1 in DNA Damage Response	9.64E-01	NaN	2.50E-02	RBL2,SMARCD3	
Chondroitin Sulfate Degradation (Metazoa)	9.72E-01	NaN	6.25E-02	HEXA,	
Angiopoietin Signaling	9.82E-01	NaN	2.56E-02	ANGPT2,NCK1	
VDR/RXR Activation	9.82E-01	NaN	2.56E-02	PRKCH,PRKCZ	
Dopamine Receptor Signaling	9.91E-01	NaN	2.60E-02	ADCY3,PPP2CA	
Relaxin Signaling	1.01E00	NaN	1.91E-02	ADCY3,PRKCZ,PDE6H	
Colanic Acid Building Blocks Biosynthesis	1.03E00	NaN	7.14E-02	GPI,	
MSP-RON Signaling Pathway	1.04E00	NaN	2.78E-02	RPS6KA2,PRKCZ	
Melatonin Signaling	1.04E00	NaN	2.78E-02	PRKCH,PRKCZ	
Phospholipase C Signaling	1.04E00	NaN	1.66E-02	RALB,ADCY3,PRKCH,PRKCZ	
Th2 Pathway	1.05E00	NaN	2.00E-02	NCSTN,PTGDR2,IL4	
Choline Biosynthesis III	1.06E00	NaN	7.69E-02	PCYT1A,	
NAD Phosphorylation and Dephosphorylation	1.06E00	NaN	7.69E-02	ACP5,	
CCR5 Signaling in Macrophages	1.07E00	NaN	2.90E-02	PRKCH,PRKCZ	
GABA Receptor Signaling	1.07E00	NaN	2.90E-02	ADCY3,KCNH2	
IL-12 Signaling and Production in Macrophages	1.08E00	NaN	2.05E-02	IL4,PRKCH,PRKCZ	
GNRH Signaling	1.09E00	NaN	2.08E-02	ADCY3,PRKCH,PRKCZ	
Acyl-CoA Hydrolysis	1.09E00	NaN	8.33E-02	ACOT7,	
Hematopoiesis from Multipotent Stem Cells	1.09E00	NaN	8.33E-02	IL4,	
Calcium-induced T Lymphocyte Apoptosis	1.1E00	NaN	3.03E-02	PRKCH,PRKCZ	
UVB-Induced MAPK Signaling	1.1E00	NaN	3.03E-02	PRKCH,PRKCZ	
Aryl Hydrocarbon Receptor Signaling	1.11E00	NaN	2.13E-02	RBL2,NFIA,NR0B2	
Insulin Receptor Signaling	1.11E00	NaN	2.13E-02	RPTOR,PRKCZ,NCK1	
PXR/RXR Activation	1.12E00	NaN	3.08E-02	ABCB9,NR0B2	
Thrombopoietin Signaling	1.12E00	NaN	3.08E-02	PRKCH,PRKCZ	
Cardiac β-adrenergic Signaling	1.12E00	NaN	2.14E-02	ADCY3,PDE6H,PPP2CA	
Glucose and Glucose-1-phosphate Degradation	1.13E00	NaN	9.09E-02	HK2,	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.14E00	NaN	2.19E-02	IL4,PRKCH,PRKCZ	
GP6 Signaling Pathway	1.16E00	NaN	2.24E-02	COL15A1,PRKCH,PRKCZ	
P2Y Purigenic Receptor Signaling Pathway	1.16E00	NaN	2.24E-02	ADCY3,PRKCH,PRKCZ	
Calcium Transport I	1.17E00	NaN	1.00E-01	ATP2C1,	
GDP-glucose Biosynthesis	1.17E00	NaN	1.00E-01	HK2,	
14-3-3-mediated Signaling	1.19E00	NaN	2.29E-02	YWHAQ,PRKCH,PRKCZ	
Estrogen Receptor Signaling	1.21E00	NaN	2.34E-02	POLR2B,MED27,NR0B2	
FXR/RXR Activation	1.23E00	NaN	2.38E-02	ITIH4,FBP1,NR0B2	
PI3K/AKT Signaling	1.24E00	NaN	2.40E-02	YWHAQ,PRKCZ,PPP2CA	
Breast Cancer Regulation by Stathmin1	1.25E00	NaN	1.95E-02	ADCY3,PRKCH,PRKCZ,PPP2CA	
Natural Killer Cell Signaling	1.26E00	NaN	2.46E-02	PRKCH,PRKCZ,NCK1	
Renin-Angiotensin Signaling	1.26E00	NaN	2.46E-02	ADCY3,PRKCH,PRKCZ	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.32E00	NaN	2.06E-02	IL4,PRKCH,PRKCZ,PPP2CA	
Phosphatidylcholine Biosynthesis I	1.32E00	NaN	1.43E-01	PCYT1A,	
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.32E00	NaN	2.61E-02	PRKCH,PRKCZ,KCNH2	
Role of NFAT in Cardiac Hypertrophy	1.32E00	NaN	2.07E-02	IGF1R,ADCY3,PRKCH,PRKCZ	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.33E00	NaN	4.08E-02	YWHAQ,PRKCZ	
Corticotropin Releasing Hormone Signaling	1.34E00	NaN	2.65E-02	ADCY3,PRKCH,PRKCZ	
Nitric Oxide Signaling in the Cardiovascular System	1.34E00	NaN	2.65E-02	SLC7A1,PRKCH,PRKCZ	
Androgen Signaling	1.36E00	NaN	2.70E-02	POLR2B,PRKCH,PRKCZ	
nNOS Signaling in Neurons	1.37E00	NaN	4.26E-02	PRKCH,PRKCZ	
CREB Signaling in Neurons	1.37E00	NaN	2.15E-02	POLR2B,ADCY3,PRKCH,PRKCZ	
Triacylglycerol Biosynthesis	1.38E00	NaN	4.35E-02	LPIN1,LPCAT2	
GDP-mannose Biosynthesis	1.38E00	NaN	1.67E-01	GPI,	
Rapoport-Luebering Glycolytic Shunt	1.38E00	NaN	1.67E-01	PGAM2,	
IGF-1 Signaling	1.41E00	NaN	2.83E-02	IGF1R,YWHAQ,PRKCZ	
UVC-Induced MAPK Signaling	1.44E00	NaN	4.65E-02	PRKCH,PRKCZ	
Trehalose Degradation II (Trehalase)	1.46E00	NaN	2.00E-01	HK2,	
Mechanisms of Viral Exit from Host Cells	1.47E00	NaN	4.88E-02	PRKCH,PRKCZ	
eNOS Signaling	1.48E00	NaN	2.33E-02	ADCY3,SLC7A1,PRKCH,PRKCZ	
Huntington's Disease Signaling	1.5E00	NaN	2.00E-02	IGF1R,POLR2B,NAPA,PRKCH,PRKCZ	
ErbB Signaling	1.5E00	NaN	3.06E-02	PRKCH,PRKCZ,NCK1	
Melanocyte Development and Pigmentation Signaling	1.5E00	NaN	3.06E-02	ADCY3,RPS6KA2,MITF	
Tight Junction Signaling	1.52E00	NaN	2.40E-02	PATJ,NAPA,PRKCZ,PPP2CA	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.54E00	NaN	2.44E-02	ADCY3,PRKCH,PRKCZ,PPP2CA	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.56E00	NaN	3.23E-02	PRKCH,PRKCZ,NCK1	
Airway Inflammation in Asthma	1.56E00	NaN	2.50E-01	IL4,	
α-Adrenergic Signaling	1.63E00	NaN	3.45E-02	ADCY3,PRKCH,PRKCZ	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.64E00	NaN	3.49E-02	ADCY3,PRKCH,PRKCZ	
Synaptic Long Term Depression	1.69E00	NaN	2.70E-02	IGF1R,PRKCH,PRKCZ,PPP2CA	
ErbB4 Signaling	1.85E00	NaN	4.17E-02	NCSTN,PRKCH,PRKCZ	
Myc Mediated Apoptosis Signaling	1.88E00	NaN	4.29E-02	IGF1R,YWHAQ,PRKCZ	
ERK5 Signaling	1.95E00	NaN	4.55E-02	YWHAQ,RPS6KA2,PRKCZ	
RAR Activation	1.95E00	NaN	2.63E-02	ADCY3,SMARCD3,PRKCH,PRKCZ,CITED2	
Fc Epsilon RI Signaling	2E00	NaN	3.36E-02	IL4,PRKCH,PRKCZ,MS4A2	
Glioma Signaling	2.07E00	NaN	3.51E-02	IGF1R,RBL2,PRKCH,PRKCZ	
Hepatic Cholestasis	2.26E00	NaN	3.12E-02	ADCY3,IL4,PRKCH,PRKCZ,NR0B2	
HIPPO signaling	2.48E00	NaN	4.60E-02	PATJ,YWHAQ,PRKCZ,PPP2CA	
Growth Hormone Signaling	2.52E00	NaN	4.71E-02	IGF1R,RPS6KA2,PRKCH,PRKCZ	
mTOR Signaling	2.52E00	NaN	2.99E-02	RPTOR,RPS6KA2,DDIT4,PRKCH,PRKCZ,PPP2CA	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.59E00	NaN	1.82E-01	HK2,GPI	
p70S6K Signaling	2.62E00	NaN	3.79E-02	YWHAQ,IL4,PRKCH,PRKCZ,PPP2CA	
Gluconeogenesis I	3.11E00	NaN	1.15E-01	FBP1,PGAM2,GPI	
Glycolysis I	3.11E00	NaN	1.15E-01	FBP1,PGAM2,GPI	

Upstream Regulators for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CCR3	g-protein coupled receptor	 	 	 	 	 	5.04E-05	IL4,PRG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	4-hydroxytamoxifen	chemical drug	 	 	 	 	 	8.58E-05	DDIT4,IGF1R,IL4,KRT19,PRKCH,RHOBTB2,TFF2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PCGEM1	other	 	 	 	 	 	1.85E-04	CS,GPI,HK2,PGAM2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GATA1	transcription regulator	 	 	 	 	 	2.50E-04	ANGPT2,DICER1,IL4,MITF,MS4A2,PRG2,RNASE2,ZFPM1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	cisplatin	chemical drug	 	 	 	 	 	3.49E-04	ASCC1,BNIP3L,CTSB,DDIT4,DICER1,HK2,IGF1R,KAT6B,KRT19,LPIN1,NR0B2,PRG2,RHOBTB2,TLE4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	methotrexate	chemical drug	 	 	 	 	 	3.61E-04	BNIP3L,GPI,IL4,ITIH4,LPIN1,MECR,MITF,PCYT1A	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ESRRG	ligand-dependent nuclear receptor	 	 	 	 	 	3.77E-04	HK2,KCNH2,LPIN1,NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	FOXO3	transcription regulator	 	 	 	 	 	4.20E-04	ANGPT2,BNIP3L,CTSB,DDIT4,ELOVL7,IGF1R,IL4,RBL2,SLC7A1	ERK1/2,FOXO1,FOXO3,TP53	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-125b-5p (and other miRNAs w/seed CCCUGAG)	mature microrna	 	 	 	 	 	5.38E-04	ARID3A,DICER1,HK2,KRT19,PPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CEBPE	transcription regulator	 	 	 	 	 	5.52E-04	EPX,IL5RA,PRG2,RNASE2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	COMMD1	transporter	 	 	 	 	 	6.42E-04	DDIT4,HK2,KRT19	COMMD1,HIF1A	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-221-3p (and other miRNAs w/seed GCUACAU)	mature microrna	 	 	 	 	 	1.02E-03	BNIP3L,DDIT4,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	FOXO1	transcription regulator	 	 	 	 	 	1.03E-03	ANGPT2,BANK1,CITED2,CS,DDIT4,ELOVL7,GPI,IGF1R,RBL2,SLC25A25	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	progesterone	chemical - endogenous mammalian	 	 	 	 	 	1.21E-03	ACOT7,ACP5,CITED2,COL15A1,DICER1,ENG,IL4,KCNH2,LPIN1,PMP22,PPP2CA,ST3GAL1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TP63	transcription regulator	 	 	 	 	 	1.70E-03	CITED2,DDIT4,DICER1,ENG,HK2,HSPA7,PPP2CA,PRKCZ,TFF2	HIF1A,TP53,TP63	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	nedocromil sodium	chemical drug	 	 	 	 	 	1.76E-03	ANGPT2,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PTEN	phosphatase	 	 	 	 	 	1.76E-03	ANGPT2,CITED2,CS,CSRP1,CTSB,CYB561,IGF1R,KIF3B,KRT19,RBL2	FOXO1,PTEN	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SETD2	enzyme	 	 	 	 	 	1.80E-03	CITED2,ENG,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GATA2	transcription regulator	 	 	 	 	 	2.21E-03	ANGPT2,EPX,FOXP1,IL4,MS4A2,PRG2,PRG3,RNASE2,ZFPM1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	WNT1	cytokine	 	 	 	 	 	2.32E-03	IGF1R,KRT19,NCK1,RBL2,TFF2	 	
